id,parent_ccss_id,grade,domain,domain_name,cluster,standard,is_subpart,text
2.G.A.1,2.G.A.1,2,G,Geometry,A,1,FALSE,"Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces.1 Identify triangles, quadrilaterals, pentagons, hexagons, and cubes."
2.G.A.2,2.G.A.2,2,G,Geometry,A,2,FALSE,Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.
2.G.A.3,2.G.A.3,2,G,Geometry,A,3,FALSE,"Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape."
2.MD.A.1,2.MD.A.1,2,MD,Measurement & Data,A,1,FALSE,"Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes."
2.MD.A.2,2.MD.A.2,2,MD,Measurement & Data,A,2,FALSE,"Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen."
2.MD.A.3,2.MD.A.3,2,MD,Measurement & Data,A,3,FALSE,"Estimate lengths using units of inches, feet, centimeters, and meters."
2.MD.A.4,2.MD.A.4,2,MD,Measurement & Data,A,4,FALSE,"Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit."
2.MD.B.5,2.MD.B.5,2,MD,Measurement & Data,B,5,FALSE,"Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem."
2.MD.B.6,2.MD.B.6,2,MD,Measurement & Data,B,6,FALSE,"Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, ..., and represent whole-number sums and differences within 100 on a number line diagram."
2.MD.C.7,2.MD.C.7,2,MD,Measurement & Data,C,7,FALSE,"Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m."
2.MD.C.8,2.MD.C.8,2,MD,Measurement & Data,C,8,FALSE,"Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and ¢ symbols appropriately. Example: If you have 2 dimes and 3 pennies, how many cents do you have?"
2.MD.D.10,2.MD.D.10,2,MD,Measurement & Data,D,10,FALSE,"Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put-together, take-apart, and compare problems1 using information presented in a bar graph."
2.MD.D.9,2.MD.D.9,2,MD,Measurement & Data,D,9,FALSE,"Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units."
2.NBT.A.1,2.NBT.A.1,2,NBT,Number & Operations in Base Ten,A,1,FALSE,"Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:"
2.NBT.A.1.a,2.NBT.A.1,2,NBT,Number & Operations in Base Ten,A,1,TRUE,"100 can be thought of as a bundle of ten tens — called a ""hundred."""
2.NBT.A.1.b,2.NBT.A.1,2,NBT,Number & Operations in Base Ten,A,1,TRUE,"The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones)."
2.NBT.A.2,2.NBT.A.2,2,NBT,Number & Operations in Base Ten,A,2,FALSE,"Count within 1000; skip-count by 5s, 10s, and 100s."
2.NBT.A.3,2.NBT.A.3,2,NBT,Number & Operations in Base Ten,A,3,FALSE,"Read and write numbers to 1000 using base-ten numerals, number names, and expanded form."
2.NBT.A.4,2.NBT.A.4,2,NBT,Number & Operations in Base Ten,A,4,FALSE,"Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using >, =, and < symbols to record the results of comparisons."
2.NBT.B.5,2.NBT.B.5,2,NBT,Number & Operations in Base Ten,B,5,FALSE,"Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction."
2.NBT.B.6,2.NBT.B.6,2,NBT,Number & Operations in Base Ten,B,6,FALSE,Add up to four two-digit numbers using strategies based on place value and properties of operations.
2.NBT.B.7,2.NBT.B.7,2,NBT,Number & Operations in Base Ten,B,7,FALSE,"Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three-digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds."
2.NBT.B.8,2.NBT.B.8,2,NBT,Number & Operations in Base Ten,B,8,FALSE,"Mentally add 10 or 100 to a given number 100-900, and mentally subtract 10 or 100 from a given number 100-900."
2.NBT.B.9,2.NBT.B.9,2,NBT,Number & Operations in Base Ten,B,9,FALSE,"Explain why addition and subtraction strategies work, using place value and the properties of operations.1"
2.OA.A.1,2.OA.A.1,2,OA,Operations & Algebraic Thinking,A,1,FALSE,"Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.1"
2.OA.B.2,2.OA.B.2,2,OA,Operations & Algebraic Thinking,B,2,FALSE,"Fluently add and subtract within 20 using mental strategies.2 By end of Grade 2, know from memory all sums of two one-digit numbers."
2.OA.C.3,2.OA.C.3,2,OA,Operations & Algebraic Thinking,C,3,FALSE,"Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends."
2.OA.C.4,2.OA.C.4,2,OA,Operations & Algebraic Thinking,C,4,FALSE,Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.
3.G.A.1,3.G.A.1,3,G,Geometry,A,1,FALSE,"Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories."
3.G.A.2,3.G.A.2,3,G,Geometry,A,2,FALSE,"Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole. For example, partition a shape into 4 parts with equal area, and describe the area of each part as 1/4 of the area of the shape."
3.MD.A.1,3.MD.A.1,3,MD,Measurement & Data,A,1,FALSE,"Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram."
3.MD.A.2,3.MD.A.2,3,MD,Measurement & Data,A,2,FALSE,"Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l).1 Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem.2"
3.MD.B.3,3.MD.B.3,3,MD,Measurement & Data,B,3,FALSE,"Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step ""how many more"" and ""how many less"" problems using information presented in scaled bar graphs. For example, draw a bar graph in which each square in the bar graph might represent 5 pets."
3.MD.B.4,3.MD.B.4,3,MD,Measurement & Data,B,4,FALSE,"Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate units— whole numbers, halves, or quarters."
3.MD.C.5,3.MD.C.5,3,MD,Measurement & Data,C,5,FALSE,Recognize area as an attribute of plane figures and understand concepts of area measurement.
3.MD.C.5.a,3.MD.C.5,3,MD,Measurement & Data,C,5,TRUE,"A square with side length 1 unit, called ""a unit square,"" is said to have ""one square unit"" of area, and can be used to measure area."
3.MD.C.5.b,3.MD.C.5,3,MD,Measurement & Data,C,5,TRUE,A plane figure which can be covered without gaps or overlaps by n unit squares is said to have an area of n square units.
3.MD.C.6,3.MD.C.6,3,MD,Measurement & Data,C,6,FALSE,"Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units)."
3.MD.C.7,3.MD.C.7,3,MD,Measurement & Data,C,7,FALSE,Relate area to the operations of multiplication and addition.
3.MD.C.7.a,3.MD.C.7,3,MD,Measurement & Data,C,7,TRUE,"Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths."
3.MD.C.7.b,3.MD.C.7,3,MD,Measurement & Data,C,7,TRUE,"Multiply side lengths to find areas of rectangles with whole-number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning."
3.MD.C.7.c,3.MD.C.7,3,MD,Measurement & Data,C,7,TRUE,Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths a and b + c is the sum of a × b and a × c. Use area models to represent the distributive property in mathematical reasoning.
3.MD.C.7.d,3.MD.C.7,3,MD,Measurement & Data,C,7,TRUE,"Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems."
3.MD.D.8,3.MD.D.8,3,MD,Measurement & Data,D,8,FALSE,"Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters."
3.NBT.A.1,3.NBT.A.1,3,NBT,Number & Operations in Base Ten,A,1,FALSE,Use place value understanding to round whole numbers to the nearest 10 or 100.
3.NBT.A.2,3.NBT.A.2,3,NBT,Number & Operations in Base Ten,A,2,FALSE,"Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction."
3.NBT.A.3,3.NBT.A.3,3,NBT,Number & Operations in Base Ten,A,3,FALSE,"Multiply one-digit whole numbers by multiples of 10 in the range 10-90 (e.g., 9 × 80, 5 × 60) using strategies based on place value and properties of operations."
3.NF.A.1,3.NF.A.1,3,NF,Numbers & Operations - Fractions,A,1,FALSE,Understand a fraction 1/b as the quantity formed by 1 part when a whole is partitioned into b equal parts; understand a fraction a/b as the quantity formed by a parts of size 1/b.
3.NF.A.2,3.NF.A.2,3,NF,Numbers & Operations - Fractions,A,2,FALSE,Understand a fraction as a number on the number line; represent fractions on a number line diagram.
3.NF.A.2.a,3.NF.A.2,3,NF,Numbers & Operations - Fractions,A,2,TRUE,Represent a fraction 1/b on a number line diagram by defining the interval from 0 to 1 as the whole and partitioning it into b equal parts. Recognize that each part has size 1/b and that the endpoint of the part based at 0 locates the number 1/b on the number line.
3.NF.A.2.b,3.NF.A.2,3,NF,Numbers & Operations - Fractions,A,2,TRUE,Represent a fraction a/b on a number line diagram by marking off a lengths 1/b from 0. Recognize that the resulting interval has size a/b and that its endpoint locates the number a/b on the number line.
3.NF.A.3,3.NF.A.3,3,NF,Numbers & Operations - Fractions,A,3,FALSE,"Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size."
3.NF.A.3.a,3.NF.A.3,3,NF,Numbers & Operations - Fractions,A,3,TRUE,"Understand two fractions as equivalent (equal) if they are the same size, or the same point on a number line."
3.NF.A.3.b,3.NF.A.3,3,NF,Numbers & Operations - Fractions,A,3,TRUE,"Recognize and generate simple equivalent fractions, e.g., 1/2 = 2/4, 4/6 = 2/3. Explain why the fractions are equivalent, e.g., by using a visual fraction model."
3.NF.A.3.c,3.NF.A.3,3,NF,Numbers & Operations - Fractions,A,3,TRUE,"Express whole numbers as fractions, and recognize fractions that are equivalent to whole numbers. Examples: Express 3 in the form 3 = 3/1; recognize that 6/1 = 6; locate 4/4 and 1 at the same point of a number line diagram."
3.NF.A.3.d,3.NF.A.3,3,NF,Numbers & Operations - Fractions,A,3,TRUE,"Compare two fractions with the same numerator or the same denominator by reasoning about their size. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model."
3.OA.A.1,3.OA.A.1,3,OA,Operations & Algebraic Thinking,A,1,FALSE,"Interpret products of whole numbers, e.g., interpret 5 _ 7 as the total number of objects in 5 groups of 7 objects each. For example, describe a context in which a total number of objects can be expressed as 5 _ 7."
3.OA.A.2,3.OA.A.2,3,OA,Operations & Algebraic Thinking,A,2,FALSE,"Interpret whole-number quotients of whole numbers, e.g., interpret 56 Ö 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each. For example, describe a context in which a number of shares or a number of groups can be expressed as 56 Ö 8."
3.OA.A.3,3.OA.A.3,3,OA,Operations & Algebraic Thinking,A,3,FALSE,"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.1"
3.OA.A.4,3.OA.A.4,3,OA,Operations & Algebraic Thinking,A,4,FALSE,"Determine the unknown whole number in a multiplication or division equation relating three whole numbers. For example, determine the unknown number that makes the equation true in each of the equations 8 _ ? = 48, 5 = _ Ö 3, 6 _ 6 = ?"
3.OA.B.5,3.OA.B.5,3,OA,Operations & Algebraic Thinking,B,5,FALSE,"Apply properties of operations as strategies to multiply and divide.2 Examples: If 6 _ 4 = 24 is known, then 4 _ 6 = 24 is also known. (Commutative property of multiplication.) 3 _ 5 _ 2 can be found by 3 _ 5 = 15, then 15 _ 2 = 30, or by 5 _ 2 = 10, then 3 _ 10 = 30. (Associative property of multiplication.) Knowing that 8 _ 5 = 40 and 8 _ 2 = 16, one can find 8 _ 7 as 8 _ (5 + 2) = (8 _ 5) + (8 _ 2) = 40 + 16 = 56. (Distributive property.)"
3.OA.B.6,3.OA.B.6,3,OA,Operations & Algebraic Thinking,B,6,FALSE,"Understand division as an unknown-factor problem. For example, find 32 Ö 8 by finding the number that makes 32 when multiplied by 8."
3.OA.C.7,3.OA.C.7,3,OA,Operations & Algebraic Thinking,C,7,FALSE,"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 _ 5 = 40, one knows 40 Ö 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers."
3.OA.D.8,3.OA.D.8,3,OA,Operations & Algebraic Thinking,D,8,FALSE,Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.3
3.OA.D.9,3.OA.D.9,3,OA,Operations & Algebraic Thinking,D,9,FALSE,"Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations. For example, observe that 4 times a number is always even, and explain why 4 times a number can be decomposed into two equal addends."
4.G.A.1,4.G.A.1,4,G,Geometry,A,1,FALSE,"Draw points, lines, line segments, rays, angles (right, acute, obtuse), and perpendicular and parallel lines. Identify these in two-dimensional figures."
4.G.A.2,4.G.A.2,4,G,Geometry,A,2,FALSE,"Classify two-dimensional figures based on the presence or absence of parallel or perpendicular lines, or the presence or absence of angles of a specified size. Recognize right triangles as a category, and identify right triangles."
4.G.A.3,4.G.A.3,4,G,Geometry,A,3,FALSE,Recognize a line of symmetry for a two-dimensional figure as a line across the figure such that the figure can be folded along the line into matching parts. Identify line-symmetric figures and draw lines of symmetry.
4.MD.A.1,4.MD.A.1,4,MD,Measurement & Data,A,1,FALSE,"Know relative sizes of measurement units within one system of units including km, m, cm; kg, g; lb, oz.; l, ml; hr, min, sec. Within a single system of measurement, express measurements in a larger unit in terms of a smaller unit. Record measurement equivalents in a two-column table. For example, know that 1 ft is 12 times as long as 1 in. Express the length of a 4 ft snake as 48 in. Generate a conversion table for feet and inches listing the number pairs (1, 12), (2, 24), (3, 36), ..."
4.MD.A.2,4.MD.A.2,4,MD,Measurement & Data,A,2,FALSE,"Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale."
4.MD.A.3,4.MD.A.3,4,MD,Measurement & Data,A,3,FALSE,"Apply the area and perimeter formulas for rectangles in real world and mathematical problems. For example, find the width of a rectangular room given the area of the flooring and the length, by viewing the area formula as a multiplication equation with an unknown factor."
4.MD.B.4,4.MD.B.4,4,MD,Measurement & Data,B,4,FALSE,"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Solve problems involving addition and subtraction of fractions by using information presented in line plots. For example, from a line plot find and interpret the difference in length between the longest and shortest specimens in an insect collection."
4.MD.C.5,4.MD.C.5,4,MD,Measurement & Data,C,5,FALSE,"Recognize angles as geometric shapes that are formed wherever two rays share a common endpoint, and understand concepts of angle measurement:"
4.MD.C.5.a,4.MD.C.5,4,MD,Measurement & Data,C,5,TRUE,"An angle is measured with reference to a circle with its center at the common endpoint of the rays, by considering the fraction of the circular arc between the points where the two rays intersect the circle. An angle that turns through 1/360 of a circle is called a ""one-degree angle,"" and can be used to measure angles."
4.MD.C.5.b,4.MD.C.5,4,MD,Measurement & Data,C,5,TRUE,An angle that turns through n one-degree angles is said to have an angle measure of n degrees.
4.MD.C.6,4.MD.C.6,4,MD,Measurement & Data,C,6,FALSE,Measure angles in whole-number degrees using a protractor. Sketch angles of specified measure.
4.MD.C.7,4.MD.C.7,4,MD,Measurement & Data,C,7,FALSE,"Recognize angle measure as additive. When an angle is decomposed into non-overlapping parts, the angle measure of the whole is the sum of the angle measures of the parts. Solve addition and subtraction problems to find unknown angles on a diagram in real world and mathematical problems, e.g., by using an equation with a symbol for the unknown angle measure."
4.NBT.A.1,4.NBT.A.1,4,NBT,Number & Operations in Base Ten,A,1,FALSE,"Recognize that in a multi-digit whole number, a digit in one place represents ten times what it represents in the place to its right. For example, recognize that 700 ÷ 70 = 10 by applying concepts of place value and division."
4.NBT.A.2,4.NBT.A.2,4,NBT,Number & Operations in Base Ten,A,2,FALSE,"Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons."
4.NBT.A.3,4.NBT.A.3,4,NBT,Number & Operations in Base Ten,A,3,FALSE,Use place value understanding to round multi-digit whole numbers to any place.
4.NBT.B.4,4.NBT.B.4,4,NBT,Number & Operations in Base Ten,B,4,FALSE,Fluently add and subtract multi-digit whole numbers using the standard algorithm.
4.NBT.B.5,4.NBT.B.5,4,NBT,Number & Operations in Base Ten,B,5,FALSE,"Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models."
4.NBT.B.6,4.NBT.B.6,4,NBT,Number & Operations in Base Ten,B,6,FALSE,"Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models."
4.NF.A.1,4.NF.A.1,4,NF,Numbers & Operations - Fractions,A,1,FALSE,"Explain why a fraction a/b is equivalent to a fraction (n × a)/(n × b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions."
4.NF.A.2,4.NF.A.2,4,NF,Numbers & Operations - Fractions,A,2,FALSE,"Compare two fractions with different numerators and different denominators, e.g., by creating common denominators or numerators, or by comparing to a benchmark fraction such as 1/2. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model."
4.NF.B.3,4.NF.B.3,4,NF,Numbers & Operations - Fractions,B,3,FALSE,Understand a fraction a/b with a > 1 as a sum of fractions 1/b.
4.NF.B.3.a,4.NF.B.3,4,NF,Numbers & Operations - Fractions,B,3,TRUE,Understand addition and subtraction of fractions as joining and separating parts referring to the same whole.
4.NF.B.3.b,4.NF.B.3,4,NF,Numbers & Operations - Fractions,B,3,TRUE,"Decompose a fraction into a sum of fractions with the same denominator in more than one way, recording each decomposition by an equation. Justify decompositions, e.g., by using a visual fraction model. Examples: 3/8 = 1/8 + 1/8 + 1/8 ; 3/8 = 1/8 + 2/8 ; 2 1/8 = 1 + 1 + 1/8 = 8/8 + 8/8 + 1/8."
4.NF.B.3.c,4.NF.B.3,4,NF,Numbers & Operations - Fractions,B,3,TRUE,"Add and subtract mixed numbers with like denominators, e.g., by replacing each mixed number with an equivalent fraction, and/or by using properties of operations and the relationship between addition and subtraction."
4.NF.B.3.d,4.NF.B.3,4,NF,Numbers & Operations - Fractions,B,3,TRUE,"Solve word problems involving addition and subtraction of fractions referring to the same whole and having like denominators, e.g., by using visual fraction models and equations to represent the problem."
4.NF.B.4,4.NF.B.4,4,NF,Numbers & Operations - Fractions,B,4,FALSE,Apply and extend previous understandings of multiplication to multiply a fraction by a whole number.
4.NF.B.4.a,4.NF.B.4,4,NF,Numbers & Operations - Fractions,B,4,TRUE,"Understand a fraction a/b as a multiple of 1/b. For example, use a visual fraction model to represent 5/4 as the product 5 × (1/4), recording the conclusion by the equation 5/4 = 5 × (1/4)."
4.NF.B.4.b,4.NF.B.4,4,NF,Numbers & Operations - Fractions,B,4,TRUE,"Understand a multiple of a/b as a multiple of 1/b, and use this understanding to multiply a fraction by a whole number. For example, use a visual fraction model to express 3 × (2/5) as 6 × (1/5), recognizing this product as 6/5. (In general, n × (a/b) = (n × a)/b.)"
4.NF.B.4.c,4.NF.B.4,4,NF,Numbers & Operations - Fractions,B,4,TRUE,"Solve word problems involving multiplication of a fraction by a whole number, e.g., by using visual fraction models and equations to represent the problem. For example, if each person at a party will eat 3/8 of a pound of roast beef, and there will be 5 people at the party, how many pounds of roast beef will be needed? Between what two whole numbers does your answer lie?"
4.NF.C.5,4.NF.C.5,4,NF,Numbers & Operations - Fractions,C,5,FALSE,"Express a fraction with denominator 10 as an equivalent fraction with denominator 100, and use this technique to add two fractions with respective denominators 10 and 100.2 For example, express 3/10 as 30/100, and add 3/10 + 4/100 = 34/100."
