state,grade,standard_id,standard_text
NE,1,1.N.5.b,"Use the relationship of addition and subtraction to solve subtraction problems (e.g., find 12 – 9 = ___________, using the addition fact 9 + 3 = 12)."
NE,1,1.N.5.c,"Determine the unknown whole number in an addition or subtraction equation (e.g., 7 + ? = 13)."
NE,1,1.N.5.d,Use the commutative property of addition to develop addition strategies and compose/decompose numbers to develop addition and subtraction strategies.
NE,1,1.N.5.e,"Solve problems that call for addition of three whole numbers whose sum is less than or equal to 20 using flexible strategies with objects, drawings, and/or equations."
NE,1,1.N.5.f,"Solve authentic problems involving addition and subtraction within 20 in situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all parts of the addition or subtraction problem by using objects, drawings, and/or equations with a symbol for the unknown number to represent the problem."
NE,2,2.D.1.c,Create and represent a data set by making a line plot using whole numbers.
NE,2,2.G.1.a,"Recognize and describe all faces of three-dimensional shapes as two-dimensional shapes. Identify and count attributes of solid shapes including the edges, faces, and vertices."
NE,2,2.G.1.b,"Recognize and draw two-dimensional shapes having a specific number of sides, angles, and vertices including triangles, quadrilaterals, pentagons, and hexagons."
NE,2,2.G.1.c,Partition a rectangle into rows and columns of equal-sized squares and count to find the total.
NE,2,2.G.1.d,"Divide circles and rectangles into two, three, or four equal parts and describe the parts using the language of halves, thirds, fourths, half of, a third of, and a fourth of."
NE,2,2.G.1.e,Recognize that equal shares of identical wholes need not have the same shape.
NE,2,2.G.2.a,Measure the length of an object using two different length units and describe how the measurements relate to the size of the specific unit.
NE,2,2.G.3.a,Identify and use appropriate tools for measuring length.
NE,2,2.G.3.b,"Measure and estimate lengths using whole numbers with inches, feet, centimeters, and meters."
NE,2,2.G.4.a,Represent whole numbers as equally spaced lengths on a number line diagram. Use number lines to find sums and differences within 100.
NE,2,2.G.4.b,Use addition and subtraction within 100 to solve problems using the same standard-length units.
NE,2,2.G.5.b,Identify and write time to five-minute intervals using analog and digital clocks and both a.m. and p.m.
NE,2,2.N.1.a,"Without counting, recognize and verbally label structured arrangements for briefly shown collections using groups, multiplicative thinking, and place value (e.g.,” I saw 48.” “How did you know?” “I saw 4 groups of 10 and 2 groups of 4 is 8...4 tens and 8 ones...48”)."
NE,2,2.N.2.a,"Count within 1,000, including skip counting by 5s, 10s, and 100s starting at a variety of multiples of 5, 10, or 100."
NE,2,2.N.3.a,"Read and write numbers within the range of 0 to 1,000 using standard, word, and expanded forms."
NE,2,2.N.3.b,"Understand 100 as a bundle, collection, or (more abstractly) composition of ten tens and that the three digits of a three-digit number represent a composition of some hundreds, some tens, and some ones."
NE,2,2.N.4.a,Fluently add and subtract within 20.
NE,2,2.N.4.b,"Add and subtract within 100 using strategies based on place value including properties of operations, relationships between addition and subtraction, and algorithms."
NE,2,2.N.4.c,Mentally add or subtract 10 or 100 to or from a given number 100 to 900.
NE,2,2.N.4.d,Add up to three two-digit numbers using strategies based on place value and understanding of properties.
NE,2,2.N.4.e,"Add and subtract within 1,000 using concrete models, drawings, and strategies that reflect an understanding of place value and the properties of operations."
NE,2,2.N.5.a,"Solve authentic problems involving addition and subtraction within 100 in situations of addition and subtraction, including adding to, subtracting from, joining and separating, and comparing situations with unknowns in all positions using objects, models, drawings, verbal explanations, expressions, and equations."
NE,2,2.N.5.c,Use repeated addition to find the total number of objects arranged in an array no larger than five rows and five columns and write an equation to express the total.
NE,2,2.N.5.d,Identify a group of objects from 0 to 20 as even or odd by counting by 2s or by showing even numbers as a sum of two equal parts.
NE,3,3.A.1.b,Determine the reasonableness of whole number sums and differences using estimations and number sense.
NE,3,3.A.1.c,"Solve and write one-step whole number equations to represent authentic problems using the four operations including equations with an unknown start, unknown change, or unknown result."
NE,3,3.A.1.d,Interpret and solve two-step authentic problems involving whole numbers and the four operations.
NE,3,3.A.1.e,"Apply commutative, associative, distributive, identity, and zero properties as strategies to multiply and divide."
NE,3,3.A.1.f,"Use drawings, words, arrays, symbols, repeated addition, equal groups, and number lines to interpret and explain the meaning of multiplication and division and their relationship."
NE,3,3.A.1.g,Fluently multiply and divide within 100 using strategies based on understanding and properties of operations.
NE,3,3.A.1.h,Multiply one-digit whole numbers by multiples of 10 in the range of 10 to 90 using strategies based on place value and properties of operations.
NE,3,3.D.1.a,"Create scaled picture graphs and scaled bar graphs to represent a data set with more than four categories, including data collected through observations, surveys, and experiments."
NE,3,3.D.1.b,Generate and represent data using line plots where the horizontal scale is marked off in halves and whole number units.
NE,3,3.D.2.a,"Analyze data and make simple statements using information represented in picture graphs, line plots, and bar graphs."
NE,3,3.G.1.1,Sort quadrilaterals into categories according to their attributes.
NE,3,3.G.2.a,Solve authentic problems involving perimeters of polygons when given the side lengths or when given the perimeter and unknown side length(s).
NE,3,3.G.2.b,Use concrete and pictorial models to measure areas in square units by counting square units.
NE,3,3.G.2.c,Find the area of a rectangle with whole-number side lengths by modeling with unit squares; show that area can be additive and is the same as would be found by multiplying the side lengths.
NE,3,3.G.3.b,"Estimate and measure length to the nearest half inch, fourth inch, and centimeter."
NE,3,3.G.4.a,Tell and write time to the minute using both analog and digital clocks.
NE,3,3.G.4.b,Solve authentic problems involving addition and subtraction of time intervals and find elapsed time.
NE,3,3.N.2.b,Find parts of a whole using visual fraction models.
NE,3,3.N.2.c,Represent and understand a fraction as a number on a number line.
NE,3,3.N.2.d,"Show and identify equivalent fractions using visual representations including pictures, manipulatives, and number lines."
NE,3,3.N.2.e,Justify whole numbers as fractions and identify fractions that are equivalent to whole numbers.
NE,3,3.N.2.f,Compare and order fractions having the same numerators or denominators by reasoning about their size.
NE,4,4.A.1.b,"Multiply up to a four-digit whole number by a one-digit whole number and multiply a two-digit whole number by a two-digit whole number, using strategies based on place value, properties of operations, and algorithms."
NE,4,4.A.1.c,Divide up to a four-digit whole number by a one-digit divisor with and without a remainder using strategies based on place value.
NE,4,4.A.1.e,"Create a simple algebraic expression or equation using a variable for an unknown number to represent an authentic mathematical situation (e.g., 3 + n = 15, 81 ÷ n = 9)."
NE,4,4.A.1.f,Solve one- and two-step authentic problems using the four operations including interpreting remainders and the use of a letter to represent the unknown quantity.
NE,4,4.D.1.a,"Generate and represent data using line plots where the horizontal scale is marked off in appropriate units—whole numbers, halves, fourths, or eighths."
NE,4,4.D.2.a,Solve authentic problems and analyze data involving addition or subtraction of fractions presented in line plots.
NE,4,4.G.1.a,"Identify, create, and describe points, lines, line segments, rays, angles, parallel lines, perpendicular lines, and intersecting lines."
NE,4,4.G.1.b,"Justify the classification of angles as acute, obtuse, or right."
NE,4,4.G.1.c,Justify the classification of two-dimensional shapes based on the presence or absence of parallel and perpendicular lines or the presence or absence of specific angles.
NE,4,4.G.1.d,"Recognize, draw, and justify lines of symmetry in two-dimensional shapes."
NE,4,4.G.2.a,"Identify and use the appropriate tools, operations, and units of measurement, both customary and metric, to solve authentic problems involving time, length, weight, mass, and capacity."
NE,4,4.G.2.c,Generate simple conversions from a larger unit to a smaller unit within the customary and metric systems of measurement.
NE,4,4.G.3.a,Apply perimeter and area formulas for rectangles to solve authentic problems.
NE,4,4.N.1.b,"Represent and justify comparisons of whole numbers up to 1,000,000 and decimals through the hundredths place using number lines and reasoning strategies."
NE,4,4.N.1.c,Recognize a digit in one place represents ten times what it represents in the place to its right.
NE,4,4.N.2.a,Explain and demonstrate how a mixed number is equivalent to a fraction greater than one and how a fraction greater than one is equivalent to a mixed number using visual fraction models and reasoning strategies.
NE,4,4.N.3.a,Decompose a fraction into a sum of fractions with the same denominator in more than one way and record each decomposition with an equation and a visual representation.
NE,4,4.N.3.b,"Explain the meaning of addition and subtraction of fractions with like denominators using visual fraction models, properties of operations, and reasoning strategies."
NE,4,4.N.3.c,Add and subtract fractions and mixed numbers with like denominators.
NE,4,4.N.3.d,Solve authentic problems involving addition and subtraction of fractions and mixed numbers with like denominators.
NE,4,4.N.4.a,Determine whether a given whole number up to 100 is a multiple of a given one-digit number.
NE,4,4.N.4.b,Determine factors of any whole number up to 100 and classify a number up to 100 as prime or composite.
NE,5,5.A.1.c,"Justify the reasonableness of computations involving whole numbers, fractions, and decimals."
NE,5,5.G.1.a,"Identify and describe faces, edges, and vertices of rectangular prisms."
NE,5,5.G.1.b,Recognize volume as an attribute of solid figures that is measured in cubic units.
NE,5,5.G.1.c,Justify the classification of two-dimensional figures in a hierarchy based on their properties.
NE,5,5.G.2.a,"Identify the origin, x-axis, and y-axis of the coordinate plane."
NE,5,5.G.2.b,Graph and name points in the first quadrant of the coordinate plane using ordered pairs of whole numbers.
NE,5,5.G.2.c,"Form ordered pairs from authentic problems involving rules or patterns, graph the ordered pairs in the first quadrant on a coordinate plane, and interpret coordinate values in the context of the situation."
NE,5,5.G.3.a,"Generate conversions in authentic mathematical situations from larger units to smaller units and smaller units to larger units, within the customary and metric systems of measurement."
NE,5,5.G.4.a,Find the area of a rectangle with fractional side lengths by tiling it with unit squares of the fraction side lengths and show that the area is the same as would be found by multiplying the side lengths.
NE,5,5.G.4.b,Multiply fractional side lengths to find areas of rectangles and represent fraction products as rectangular areas.
NE,5,5.G.4.c,Use concrete models to measure the volume of rectangular prisms by counting cubic units.
NE,5,5.G.4.d,Find the volume of a rectangular prism with whole-number side lengths by modeling with unit cubes and show that the volume can be additive and is the same as would be found by multiplying the area of the base times height.
NE,5,5.G.4.e,Solve authentic problems by applying the formulas V = l × w × h and V = B × h for rectangular prisms to find volumes of rectangular prisms with whole number edge lengths.
NE,5,5.N.1.a,"Read, write, and demonstrate multiple equivalent representations for multi-digit whole numbers and decimals through the thousandths place using standard form and expanded form."
NE,5,5.N.1.b,Recognize a digit in one place represents  of what it represents in the place to its left.
NE,5,5.N.1.c,Use whole number exponents to denote powers of 10.
NE,5,5.N.2.a,"Generate equivalent forms of commonly used fractions and decimals (e.g., halves, fourths, fifths, tenths)."
NE,5,5.N.2.b,"Represent and justify comparisons of whole numbers, fractions, mixed numbers, and decimals through the thousandths place using number lines, reasoning strategies, and/or equivalence."
NE,5,5.N.3.b,"Multiply a whole number by a fraction or a fraction by a fraction, including mixed numbers, using visual fraction models and properties of operations."
NE,5,5.N.3.c,Divide a unit fraction by a whole number and a whole number by a unit fraction using visual fraction models and properties of operations.
NE,5,5.N.3.d,"Solve authentic problems involving addition, subtraction, and multiplication of fractions and mixed numbers with like and unlike denominators."
NE,5,5.N.3.f,Solve authentic problems involving division of unit fractions by whole numbers and division of whole numbers by unit fractions.
NE,6,6.A.1.a,Recognize and generate equivalent algebraic expressions involving the distributive property and combining like terms.
NE,6,6.A.1.b,"Given the value of the variable, evaluate algebraic expressions with non-negative rational numbers with respect to order of operations, which may include absolute value."
NE,6,6.A.1.c,Use substitution to determine if a given value for a variable makes an equation or inequality true.
NE,6,6.A.1.d,"Solve one-step equations with non-negative rational numbers using addition, subtraction, multiplication, and division."
NE,6,6.A.1.e,"Solve one-step inequalities with whole numbers using addition, subtraction, multiplication, and division and represent solutions on a number line (e.g., graph 3x > 3)."
NE,6,6.A.2.a,"Create algebraic expressions (e.g., one operation, one variable as well as multiple operations, one variable) from word phrases."
NE,6,6.A.2.b,"Write equations (e.g., one operation, one variable) to represent authentic situations involving non-negative rational numbers."
NE,6,6.A.2.c,"Write inequalities (e.g., one operation, one variable) to represent authentic situations involving whole numbers."
NE,6,6.D.2.a,"Represent data using dot plots, box-and-whisker plots, and histograms."
NE,6,6.D.2.e,"Compare and interpret data sets based upon their measures of central tendency and graphical representations (e.g., center, spread, shape)."
NE,6,6.D.3.a,Identify a list of possible outcomes for a simple event.
NE,6,6.D.3.b,"Describe the theoretical and experimental probability of an event using a fraction, percentage, and decimal."
NE,6,6.D.3.c,"Express the degree of likelihood (possible, impossible, certain, more likely, equally likely, or less likely) of simple events."
NE,6,6.D.3.d,Compare and contrast theoretical and experimental probabilities.
NE,6,6.G.1.a,Identify and create nets to represent two-dimensional drawings of prisms and pyramids.
NE,6,6.G.3.b,Determine the surface area of rectangular prisms and triangular prisms using nets as well as application of formulas.
NE,6,6.N.1.a,Determine common factors and common multiples.
NE,6,6.N.1.b,Determine prime factorization of numbers with and without exponents.
NE,6,6.R.1.a,"Determine ratios from concrete models, drawings, and/or words."
NE,6,6.R.1.b,Explain and determine unit rates.
NE,6,6.R.1.c,"Find a percent of a quantity as a rate per 100 and solve problems involving finding the whole, given a part and the percent."
NE,6,6.R.1.e,"Solve authentic problems using ratios, unit rates, and percents."
NE,6,6.R.1.f,Use ratio reasoning to convert measurement units; manipulate and transform units appropriately when multiplying or dividing quantities.
NE,6,6.R.2.a,Identify the ordered pair of a given point in the coordinate plane.
NE,6,6.R.2.b,Plot the location of an ordered pair in the coordinate plane.
NE,6,6.R.2.c,"Identify the location of a given point in the coordinate plane (e.g., axis, origin, quadrant)."
NE,6,6.R.2.d,Make tables of equivalent ratios relating quantities with whole number measurements.
NE,6,6.R.2.f,Plot the pair of values from a ratio table on the coordinate plane.
NE,6,6.R.2.g,"Explain what a point (x, y) on the graph of a proportional relationship means in terms of the situation."
NE,7,7.A.1.a,"Use factoring and properties of operations to create equivalent algebraic expressions (e.g., 2x + 6 = 2(x + 3))."
NE,7,7.A.1.b,"Given the value of the variable(s), evaluate algebraic expressions, which may include absolute value."
NE,7,7.A.1.c,Solve one- and two-step equations involving rational numbers.
NE,7,7.A.1.d,Solve equations using the distributive property and combining like terms.
NE,7,7.A.2.a,"Write one- and two-step equations involving rational numbers from words, tables, and authentic situations."
NE,7,7.D.1.a,Create an investigative question and collect data.
NE,7,7.G.1.a,"Apply properties of adjacent, complementary, supplementary, linear pair, and vertical angles to find missing angle measures."
NE,7,7.G.2.a,Draw polygons in the coordinate plane given coordinates for the vertices.
NE,7,7.G.2.b,Calculate vertical and horizontal distances in the coordinate plane to find perimeter and area of rectangles.
NE,7,7.G.3.a,Solve authentic problems involving perimeter and area of composite shapes made from triangles and quadrilaterals.
NE,7,7.G.3.b,Determine surface area and volume of composite rectangular and triangular prisms.
NE,7,7.N.2.a,"Add, subtract, multiply, and divide rational numbers (e.g., positive and negative fractions, decimals, and integers)."
NE,7,7.N.2.b,"Apply properties of operations (commutative, associative, distributive, identity, inverse, zero) as strategies for problem solving with rational numbers."
NE,7,7.R.1.a,"Decide whether two quantities are in a proportional relationship (e.g., by testing for equivalent ratios in a table)."
NE,7,7.R.1.b,Represent and solve authentic problems with proportions.
NE,7,7.R.1.c,"Use proportional relationships to solve authentic percent problems (e.g., percent change, sales tax, mark-up, discount, tip)."
NE,7,7.R.1.d,Solve authentic problems involving scale drawings.
NE,8,8.A.1.a,"Describe single variable equations as having one solution, no solution, or infinitely many solutions."
NE,8,8.A.1.b,Solve multi-step equations involving rational numbers with the same variable appearing on both sides of the equation.
NE,8,8.A.1.c,"Solve equations of the form x² = k (k ≤ 400) and x³ = k (k ≤ 125), where k is a positive rational number, using square root and cube root symbols."
NE,8,8.A.2.a,"Write multi-step single variable equations from words, tables, and authentic situations."
NE,8,8.A.2.b,Determine and describe the rate of change for given situations through the use of tables and graphs.
NE,8,8.A.2.c,Graph proportional relationships and interpret the rate of change.
NE,8,8.D.2.a,"Represent and interpret bivariate data (e.g., ordered pairs) using scatter plots."
NE,8,8.D.2.b,"Describe patterns such as positive or negative association, linear or nonlinear association, clustering, and outliers when bivariate data is represented on a coordinate plane."
NE,8,8.D.2.c,Draw an informal line of best fit based on the closeness of the data points to the line.
NE,8,8.D.2.d,Use a linear model to make predictions and interpret the rate of change and 𝑦-intercept in context.
NE,8,8.G.1.a,Determine and use the relationships of the interior angles of a triangle to solve for missing measures.
NE,8,8.G.1.b,"Identify and apply geometric properties of parallel lines cut by a transversal and the resulting corresponding same side interior, alternate interior, and alternate exterior angles to find missing measures."
NE,8,8.G.2.a,"Perform and describe positions and orientations of shapes under single transformations including rotations in multiples of 90 degrees about the origin, translations, reflections, and dilations on and off the coordinate plane."
NE,8,8.G.2.b,Determine if two-dimensional figures are congruent or similar.
NE,8,8.G.2.c,Perform and describe positions and orientations of shapes under a sequence of transformations on and off the coordinate plane.
NE,8,8.G.3.a,Explain a model of the Pythagorean Theorem.
NE,8,8.G.3.b,Apply the Pythagorean Theorem to find side lengths of triangles and to solve authentic problems.
NE,8,8.G.3.c,Find the distance between any two points on the coordinate plane using the Pythagorean Theorem.
NE,8,8.N.1.b,Represent numbers with positive and negative exponents and in scientific notation.
NE,8,8.N.1.c,Describe the difference between a rational and irrational number.
NE,8,8.N.1.d,"Approximate, compare, and order real numbers, both rational and irrational, and locate them on the number line."
NE,8,8.N.2.a,Evaluate the square roots of perfect squares less than or equal to 400 and cube roots of perfect cubes less than or equal to 125.
NE,8,8.N.2.d,Multiply and divide numbers using scientific notation.
NE,K,K.D.1.a,"Identify, sort, and classify objects by size, shape, color, and other attributes."
NE,K,K.D.1.b,Identify objects that do not belong to a particular group and explain the reasoning used.
NE,K,K.G.1.a,"Identify and name two-dimensional shapes including circles, triangles, squares, and rectangles regardless of orientation or size."
NE,K,K.G.1.b,"Identify and name three-dimensional shapes including spheres, cubes, cylinders, and cones regardless of orientation or size."
NE,K,K.G.1.c,"Describe the relative positions of shapes in relation to other objects or shapes using terms such as above, below, in front of, behind, and next to."
NE,K,K.G.1.d,Create shapes using given materials and describe one or more of the attributes such as number of sides/corners.
NE,K,K.G.1.e,Combine simple shapes to compose larger shapes.
NE,K,K.G.2.a,"Describe measurable attributes of authentic objects including length, capacity, and weight."
NE,K,K.G.2.b,"Directly compare two objects with a measurable attribute in common to describe which object is longer/shorter, heavier/lighter, and has more/less-capacity."
NE,K,K.N.1.a,"Without counting, recognize and verbally label arrangements for briefly shown collections up to 10 (e.g., “I saw 5.” “How did you know?” “I saw 3 and 2, that is 5.”)."
NE,K,K.N.2.a,Use one-to-one correspondence when counting objects to show the relationship between numbers and quantities and understand the last number counted is a direct representation of the total objects in a given set.
NE,K,K.N.2.b,Understand that each successive number name refers to a quantity that is one larger.
